,Unnamed: 0,id,teacher_id,teacher_prefix,school_state,project_submitted_datetime,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_essay_2,project_essay_3,project_essay_4,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
0,160221,p253737,c90749f5d961ff158d4b4d1e7dc665fc,Mrs.,IN,2016-12-05 13:43:57,Grades PreK-2,Literacy & Language,"ESL, Literacy",Educational Support for English Learners at Home,"My students are English learners that are working on English as their second or third languages. We are a melting pot of refugees, immigrants, and native-born Americans bringing the gift of language to our school. \r\n\r\n We have over 24 languages represented in our English Learner program with students at every level of mastery.  We also have over 40 countries represented with the families within our school.  Each student brings a wealth of knowledge and experiences to us that open our eyes to new cultures, beliefs, and respect.","\""The limits of your language are the limits of your world.\""-Ludwig Wittgenstein  Our English learner's have a strong support system at home that begs for more resources.  Many times our parents are learning to read and speak English along side of their children.  Sometimes this creates barriers for parents to be able to help their child learn phonetics, letter recognition, and other reading skills.\r\n\r\nBy providing these dvd's and players, students are able to continue their mastery of the English language even if no one at home is able to assist.  All families with students within the Level 1 proficiency status, will be a offered to be a part of this program.  These educational videos will be specially chosen by the English Learner Teacher and will be sent home regularly to watch.  The videos are to help the child develop early reading skills.\r\n\r\nParents that do not have access to a dvd player will have the opportunity to check out a dvd player to use for the year.  The plan is to use these videos and educational dvd's for the years to come for other EL students.\r\n",,,My students need opportunities to practice beginning reading skills in English at home.,0,0
1,140945,p258326,897464ce9ddc600bced1151f324dd63a,Mr.,FL,2016-10-25 09:22:10,Grades 6-8,"History & Civics, Health & Sports","Civics & Government, Team Sports",Wanted: Projector for Hungry Learners,"Our students arrive to our school eager to learn. They are polite, generous, and strive to be the best they can be. They know that with an education, they can succeed in life and help improve on the lives that they have now.\r\n\r\nOur school focuses on families with low incomes and tries to give each student the education they deserve. While we do not have much, the students use the materials they are given and do the very best they can with them.","The projector we need for our school is very crucial for the academic improvement of our students. As technology continues to grow, there are so many resources in the internet that we as teachers use to further the growth of our students. However, our school is very limited with resources - particularly, technology - and without it, we are at a disadvantage. One of the things that could really help our classrooms is a projector.\r\n\r\n\r\nWith a projector, not only is it crucial with instruction, but also for the growth of our students. With a projector, we can show presentations, documentaries, photos of historical land sites, math problems and so much more. With a projector, we can make teaching and learning easier while also targeting the different types of learners we have in our classrooms:  auditory, visual, kinesthetic, etc. \r\n",,,My students need a projector to help with viewing educational programs,7,1
2,21895,p182444,3465aaf82da834c0582ebd0ef8040ca0,Ms.,AZ,2016-08-31 12:03:56,Grades 6-8,Health & Sports,"Health & Wellness, Team Sports",Soccer Equipment for AWESOME Middle School Students,"\r\n\""True champions aren't always the ones that win, but those with the most guts.\"" By Mia Hamm This quote best describes how the students at Cholla Middle School approach playing sports, especially for the girls and boys soccer teams. The teams are made up of 7th and 8th grade students, and most of them have not had the opportunity to play in an organized sport due to family financial difficulties. \r\nI teach at a Title One middle school in an urban neighborhood. 74% of our students qualify for free and reduced lunch and many come from very activity/ sport opportunity-poor homes. My students love to participate in sports to learn new skills and be apart of team atmosphere. My school lacks the funding to meet my students’ needs and I am concerned that their lack of exposure will not prepare them for the participating in sports and teams in high school. By the end of the school year, the goal is to provide our students with an opportunity to learn a variety of soccer skills, and positive qualities of a person who actively participates on a team.","The students on the campus come to school knowing they face an uphill battle when it comes to participating in organized sports. The players would thrive on the field, with the confidence from having the appropriate soccer equipment to play soccer to the best of their abilities. The students will experience how to be a helpful person by being part of team that teaches them to be positive, supportive, and encouraging to others. \r\nMy students will be using the soccer equipment during practice and games on a daily basis to learn and practice the necessary skills to develop a strong soccer team. This experience will create the opportunity for students to learn about being part of a team, and how to be a positive contribution for their teammates. The students will get the opportunity to learn and practice a variety of soccer skills, and how to use those skills during a game.  Access to this type of experience is nearly impossible without soccer equipment for the students/ players to utilize during practice and games .",,,"My students need shine guards, athletic socks, Soccer Balls, goalie gloves, and training materials for the upcoming Soccer season.",1,0
3,45,p246581,f3cb9bffbba169bef1a77b243e620b60,Mrs.,KY,2016-10-06 21:16:17,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Techie Kindergarteners,I work at a unique school filled with both ESL (English as a Second Language) and High Poverty students. Our students have individual personal struggles that would break your heart but once you step through the doors you wouldn't notice anything but their positive and resilient attitude for learning. \r\nMy students love and support each other through every aspect of their learning journey. We have students from ALL over the world speaking 77 different languages and we are like Family. Every student is welcomed with open arms regardless of where they come from or what language they speak. Education and love have a universal language and in my classroom we have plenty of both!,My students live in high poverty conditions with limited to no access to technology. Ipads provide the opportunity to learn through playing Reading and Math games that engage and inspire. These iPads will surely be the hottest commodity in my classroom as students will beg to get on to play these educational games. \r\nI will be tracking data on each iPad with several educational programs that will help me differentiate learning for each student. Students will also be able to track their progress through these programs. I look forward to seeing the students grow through their use with these iPads!,,,My students need to engage in Reading and Math in a way that will inspire them with these Mini iPads!,4,1
4,172407,p104768,be1f7507a41f8479dc06f047086a39ec,Mrs.,TX,2016-07-11 01:10:09,Grades PreK-2,Math & Science,Mathematics,Interactive Math Tools,"Our second grade classroom next year will be made up of around 25 kids, many of them coming from Spanish-speaking families, many of them receive free or reduced priced lunch. These are inquisitive students, who often do not have as many educational resources at home as they need.\r\n These kids are curious about the world, excited to learn, and ready to find out all that an education can offer them. I'm excited to teach them and push them to meet and exceed any expectations they have of themselves.","For many students, math is a subject that does not pertain to life, a subject that stresses them out. I believe in making math not only fun, but also important to their lives. A typical part of the day is our \""Calendar Math\"" section, which is a time in which we talk about the calendar, the weather, and about the properties of the day. \r\nThese Calendar Math Journals will allow each student to be more accountable for their own learning. It will help them in paying attention and to be more involved during this time. Students are also expected to know how to count from 1-120 and to understand all these numbers. These charts will be an important resource to them in different math tasks, and will also provide a simple task for early finishers, ie : \""fill out your charts when you're done with your assignment!\""",,,My students need hands on practice in mathematics. Having fun and personalized journals and charts will help them be more involved in our daily Math routines.,1,1
5,141660,p154343,a50a390e8327a95b77b9e495b58b9a6e,Mrs.,FL,2017-04-08 22:40:43,Grades 3-5,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",Flexible Seating for Mrs. Jarvis' Terrific Third Graders!!,"I will be moving from 2nd grade to 3rd grade at the beginning of the next school year. I will be takings some of my current students with me in the move. I teach an inclusion classroom, which includes students with ADHD, SLD, as well as autistic students. My students work very hard on achieving their goals, no matter what struggles they may have. The school where I teach houses a great deal of autistic students, as well as ELL students.  My student love to read, work, and challenge themselves. They also LOVE to move around. They work better when able to move about the room to different areas, rather then their usual set.","These flexible seating options will allow my students to have different seating options. Instead of sitting at the traditional desk and chair, they will be able to use these flexible seating tools to reduce stress and anxiety. These tools are beneficial to students with special needs, but also all students. It is a proven fact that when students are up and moving, more oxygen is going to the brain, which means more learning is taking place. These flexible seating options allow the students to move from their traditional seat and allows them to reduce their stress in the classroom. \r\nThis project will significantly help my students reduce the stress and anxiety of standardized testing. \r\nThe students in 3rd grade are required to take the state mandated test. This puts a great deal of stress on the students to perform well on the test. If the students are able to work throughout the year in a less stressful classroom, because of the assistance of flexible seating, they will obtain the skills needed to be successful on the standardized test.",,,"My students need movement to be successful. Being that I have a variety of students that have all different types of needs, flexible seating would assist not only these students with special needs, but all students.",1,1
6,21147,p099819,9b40170bfa65e399981717ee8731efc3,Mrs.,CT,2017-02-17 19:58:56,Grades 6-8,"Literacy & Language, Special Needs","Literacy, Special Needs",Chromebooks for Special Education Reading Program,"My students are a dynamic and very energetic group of middle schoolers.  They, also, generally come from a low socioeconomic background and, as a result, often do not have access to the supplies and opportunities of other middle schoolers in the state.  I have seen their excitement as they master a new skill that they were previously unable to accomplish.  They love using technology and respond well to computer-based programs.  They are deserving kids that just need opportunities to succeed.","My students are an engaging and active group of kids that struggle with basic reading and writing.  They daily use a well-researched, reading program called Read 180.  This program necessitates daily computer work.  \r\nWhile the school has a computer lab, it does not have an adequate number of computers that can run the Read 180 reading program.  In addition to this, many of the computers are shared with the rest of the school, so we do not always have the access that we need.  We are also in need of additional computers for the continual influx of new special education students.  The computers would also be used for weekly math practice as well as for in-class research.",,,My students need some dependable laptops for daily classroom use for reading and math.,1,1
7,94142,p092424,5bfd3d12fae3d2fe88684bbac570c9d2,Ms.,GA,2016-09-01 00:02:15,Grades 3-5,Math & Science,Mathematics,It's the 21st Century,"Not only do our students struggle with poverty, but some of them are also learning to master the English Language. Minority students represent about 35% of our student population. Regardless of their background or socioeconomic status, these students deserve a high quality education.\r\nThese children are our Future.\r\nThese students are eager to learn, they are filled with excitement at any opportunity to use technology in the classroom. However, with almost 650 students attending my school and only 4 ipad carts for the entire building, they do not get as much exposure as they need. As an educator it is vital that I try and help them become apart of the 21 century in this digital age. These ipads will allow me to do just that.\r\n\r\n","My students need 4 iPads, the latest technology in our classroom.\r\n\r\nA long time ago we used paper and pencils for teaching students. That time has passed. In the 21st century my students need the latest technology to stay ahead.\r\n\r\nMy students are fully engaged when they use technology, you can hear a pin drop in the room. Ipads can make the simplest tasks more fun! For example, instead of worksheets they can use interactive apps to practice math skills. The mobility of the ipad is also important as the students will be using it all around the classroom and sometimes in other areas of the school.\r\nI am requesting 4 ipads to use in the classroom. My students will use it to listen to digital books, do assignments on study island, study jams and other interactive sites.\r\nPlease help fund this project!\r\nWhen we do get the opportunity to use the ipad cart at the school, I have noticed how beneficial they are to student learning. Not only will donating to this project help my students, it will also help our future.",,,My students need ipads to help them access a world of online resources that will spark their interest in learning.,7,1
8,112489,p045029,487448f5226005d08d36bdd75f095b31,Mrs.,SC,2016-09-25 17:00:26,Grades PreK-2,Health & Sports,Health & Wellness,Targeting More Success in Class,"My students are enthusiastic and inquisitive learners in our K-6 Title I school. They have a love for learning, and they respond well to learning new things. They are active learners who enjoy freedoms, such as flexible seating arrangements and use of iPads as instructional tools in our classroom. My students have a variety of interests - including sports, singing, dancing, art, gymnastics, and playing indoor/outdoor games. \r\n\r\nOur school has a friendly atmosphere for learners; it's evident from the moment you enter the building. Teachers are engaged in high-interest lessons, and one can often find parents and/or volunteers assisting students throughout the school. Our teachers are constantly searching for new and inviting ways to motivate learners.","My second graders need extra activity time during class time to help them stay focused. At our school recently we received two new online programs--Go Noodle Plus and Light Sail--both supporting more movement in classrooms. Students have asked for additional Chromebooks to use with our rotating small groups. We have one Chromebook which they love to share. With these programs, we have a need for a few more laptops for our rotating groups.\r\n\r\nMy students say that learning is more fun with these light, portable devices.  \r\n\r\nThey enjoy having responsibility of taking care of the Chromebook which we share. My students keep telling me that learners are more focused on their work when using devices like Chromebooks. This project will provide students with more opportunities for healthy movement beyond P.E. and recess. It also will steer more students who struggle with attention issues to be more successful as small groups move and interact in our classroom. This project will make a definite difference in our classroom. We support movement in our class. These three additional Chromebooks will scoot more success with learning our way. We all want that.",,,"My students need three devices and three management licenses for small group's easy access to newly-implemented online programs--Go Noodle Plus, for increased in-class physical activity and Light Sail, an interactive reading program.",28,1
9,158561,p001713,140eeac1885c820ad5592a409a3a8994,Ms.,NC,2016-11-17 18:18:56,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",Just For the Love of Reading--\r\nPure Pleasure,"Over 95% of my students are on free or reduced lunch.  I have a few who are homeless, but despite that, they come to school with an eagerness to learn.  My students are inquisitive eager learners who  embrace the challenge of not having great books and other resources  every day.  Many of them are not afforded the opportunity to engage with these big colorful pages of a book on a regular basis at home and they don't travel to the public library.  \r\nIt is my duty as a teacher to do all I can to provide each student an opportunity to succeed in every aspect of life. \r\n","Reading is Fundamental! My students will read these books over and over again while boosting their comprehension skills. These books will be used for read alouds, partner reading and for Independent reading. \r\nThey will engage in reading to build their \""Love for Reading\"" by reading for pure enjoyment. They will be introduced to some new authors as well as some old favorites. I want my students to be ready for the 21st Century and know the pleasure of holding a good hard back book in hand. There's nothing like a good book to read!  \r\nMy students will soar in Reading, and more because of your consideration and generous funding contribution. This will help build stamina and prepare for 3rd grade. Thank you so much for reading our proposal!",,,"My students need great books to use during Independent Reading, Read Alouds, Partner Reading and Author Studies.",36,1
10,43184,p040307,363788b51d40d978fe276bcb1f8a2b35,Mrs.,CA,2017-01-04 16:40:30,Grades 3-5,Literacy & Language,Literacy,Reading Changes Lives,"\""There are many little ways to enlarge your world. Love of books is the best of all.” - Jacqueline Kennedy\r\n\r\nI work at a Title 1 school which serves students of lower income families.\r\nThey often enter 5th grade reading at a second grade level with the notion that reading is just another thing they're not good at. I provide them with the motivation to want to pick up a book, snuggle up on a bean bag, and read more than they ever have in their lifetime.","I've had 8 sets of students enjoy the books in our classroom library throughout the past few years, and as a result most of them are falling apart. It is a testament to how much they have loved reading but unfortunately the books will soon need to be retired. With the purchase of these new books, you will ensure that the joy of reading continues on past this school year. A Haunted Mystery Series, Word of Mouse, and The Babysitters Club are just a few books my students would love to read. \r\n\r\nMy students struggle with building their vocabulary and by the time they reach 5th grade, most of them have no interest in picking up a book.\r\n\r\nI am determined to change their futures through sharing the joy of reading. Reading allows them to make connections beyond their own limited world and gives them a gateway to limitless opportunities. Your donations will help improve our classroom library and will be tangible evidence to my students that I'm not the only one who thinks reading changes lives!",,,"My students need books by their favorite authors like Chris Grabenstein, Raina Telgemeier and James Patterson to keep building their vocabulary.",37,1
